8040556-UIC|80G0560
733816-UIC|73G0015
500901-UIC|50G0031
8516355-UIC|85G0128
8012844-UIC|80G0640
8040469-UIC|80G0629
2785736-UIC|27G0012
715537-UIC|71G0024
8079714-UIC|80G0562
8089117-UIC|80G0566
2250195-UIC|22G0055
2750695-UIC|27G0015
421559-UIC|42G0003
365083-UIC|36G0023
996594-UIC|99G0003
8079765-UIC|80G0639
8179247-UIC|81G0606
8174251-UIC|81G0103
7164057-UIC|71G0023
836461-UIC|83G0418
8557566-UIC|85G0131
8179171-UIC|81G0605
362612-UIC|36G0018
8174275-UIC|81G0098
8072171-UIC|80G0585
505677-UIC|50G0026
750748-UIC|75G0017
362132-UIC|36G0016
8557055-UIC|85G0130
502840-UIC|50G0018
8557500-UIC|85G0138
8306422-UIC|83G0424
731089-UIC|73G0012
8079779-UIC|80G0659
8079748-UIC|80G0623
8171333-UIC|81G0118
8177060-UIC|81G0114
945272-UIC|94G0023
2750698-UIC|27G0010
8040467-UIC|80G0610
2220368-UIC|22G0064
8040466-UIC|80G0589
8079735-UIC|80G0605
9457497-UIC|94G0024
2232000-UIC|22G0056
8303313-UIC|83G0417
5433520-UIC|54G0128
2250550-UIC|22G0067
2281771-UIC|22G0065
5433305-UIC|54G0125
8040404-UIC|80G0603
5108403-UIC|51G0146
731493-UIC|73G0016
720478-UIC|72G0022
8040436-UIC|80G0575
363244-UIC|36G0012
8040421-UIC|80G0563
524975-UIC|52G0012
2028600-UIC|20G0089
7015550-UIC|70G0047
5481746-UIC|54G0137
8079746-UIC|80G0622
8187025-UIC|81G0110
5450720-UIC|54G0131
5171930-UIC|51G0147
8400746-UIC|84G0115
8040433-UIC|80G0645
755406-UIC|75G0018
2024294-UIC|20G0081
7401586-UIC|74G0319
8089205-UIC|80G0567
2250779-UIC|22G0058
5151345-UIC|51G0149
8174012-UIC|81G0603
8040439-UIC|80G0611
2750699-UIC|27G0009
502514-UIC|50G0024
366038-UIC|36G0013
8089046-UIC|80G0565
8017480-UIC|80G0571
2027544-UIC|20G0082
2070103-UIC|20G0073
8017481-UIC|80G0573
8079777-UIC|80G0627
8779665-UIC|87G0872
8079776-UIC|80G0655
402811-UIC|40G0002
5108407-UIC|51G0164
8079723-UIC|80G0588
502519-UIC|50G0029
8089207-UIC|80G0600
2250196-UIC|22G0062
5454137-UIC|54G0133
2232240-UIC|22G0066
8079705-UIC|80G0579
502515-UIC|50G0023
8040426-UIC|80G0617
8079768-UIC|80G0646
8005426-UIC|80G0641
8040440-UIC|80G0624
8040471-UIC|80G0652
8079741-UIC|80G0613
8079753-UIC|80G0632
2020601-UIC|20G0085
8017479-UIC|80G0574
5108404-UIC|51G0152
8187030-UIC|81G0104
8040416-UIC|80G0594
5438015-UIC|54G0124
8079752-UIC|80G0631
8400901-UIC|84G0113
8899999-UIC|88G0098
369155-UIC|36G0017
8006142-UIC|80G0653
8175189-UIC|81G0111
681774-UIC|68G0001
8040560-UIC|80G0586
8301952-UIC|83G0419
721218-UIC|72G0020
9000102-UIC|90G0002
8001717-UIC|80G0584
361091-UIC|36G0024
8550524-UIC|85G0129
511008-UIC|51G0156
8040428-UIC|80G0561
5108405-UIC|51G0151
5153975-UIC|51G0163
8040510-UIC|80G0651
8079767-UIC|80G0644
5489666-UIC|54G0135
2250368-UIC|22G0059
5180754-UIC|51G0162
5460522-UIC|54G0123
8089186-UIC|80G0570
8006831-UIC|80G0559
2027799-UIC|20G0090
8067480-UIC|80G0572
8400902-UIC|84G0112
751300-UIC|75G0013
815238-UIC|81G0102
7401585-UIC|74G0318
5108413-UIC|51G0153
402812-UIC|40G0003
2082824-UIC|20G0087
732838-UIC|73G0014
9999999-UIC|99G0005
940214-UIC|94G0025
9109003-UIC|91G0003
8174014-UIC|81G0105
8755346-UIC|87G0870
8079745-UIC|80G0621
830557-UIC|83G0430
2750702-UIC|27G0014
8040413-UIC|80G0604
8040437-UIC|80G0576
8306170-UIC|83G0425
8309801-UIC|83G0423
5551538-UIC|55G0120
945255-UIC|94G0026
562198-UIC|56G0033
8569685-UIC|85G0121
5450499-UIC|54G0134
8303031-UIC|83G0426
8171116-UIC|81G0107
361835-UIC|36G0021
5490210-UIC|54G0129
502518-UIC|50G0027
8040417-UIC|80G0620
8081962-UIC|80G0619
8303023-UIC|83G0429
2031086-UIC|20G0078
5140426-UIC|51G0155
750386-UIC|75G0015
8182179-UIC|81G0101
501194-UIC|50G0022
507119-UIC|50G0021
8040427-UIC|80G0650
996301-UIC|99G0004
8079742-UIC|80G0615
8400677-UIC|84G0114
9000100-UIC|90G0003
2750697-UIC|27G0011
8004937-UIC|80G0636
8635465-UIC|86G0029
9109002-UIC|91G0005
2032382-UIC|20G0083
8450126-UIC|84G0111
2036600-UIC|20G0086
505814-UIC|50G0032
8040534-UIC|80G0608
8172262-UIC|81G0106
8171032-UIC|81G0113
8176427-UIC|81G0109
2250106-UIC|22G0063
8040446-UIC|80G0602
421043-UIC|42G0002
8040409-UIC|80G0577
8040441-UIC|80G0654
2280128-UIC|22G0061
5457236-UIC|54G0132
8174059-UIC|81G0116
8079757-UIC|80G0633
8040419-UIC|80G0607
706472-UIC|70G0128
635114-UIC|63G0001
2093800-UIC|20G0075
8171025-UIC|81G0095
721862-UIC|72G0021
5180098-UIC|51G0148
8079740-UIC|80G0612
8305068-UIC|83G0427
5108408-UIC|51G0160
8040447-UIC|80G0609
8040533-UIC|80G0599
8182007-UIC|81G0601
5264906-UIC|52G0011
5425906-UIC|54G0138
8372058-UIC|83G0420
733814-UIC|73G0011
8171031-UIC|81G0112
8053664-UIC|80G0616
8017451-UIC|80G0630
112413-UIC|11G0001
8400126-UIC|84G0110
2116170-UIC|21G0008
8040554-UIC|80G0660
721653-UIC|72G0023
2021064-UIC|20G0074
2028671-UIC|20G0080
8303203-UIC|83G0421
8040430-UIC|80G0583
462860-UIC|46G0001
361844-UIC|36G0015
8079772-UIC|80G0648
2251456-UIC|22G0057
5476073-UIC|54G0127
8282102-UIC|82G0015
8079725-UIC|80G0590
8587930-UIC|85G0132
5108401-UIC|51G0161
2092424-UIC|20G0079
8500129-UIC|85G0122
509158-UIC|50G0030
8171019-UIC|81G0108
8178383-UIC|81G0099
2750683-UIC|27G0017
546049-UIC|54G0122
374811-UIC|37G0001
5480146-UIC|54G0136
5153306-UIC|51G0157
8282250-UIC|82G0014
2046119-UIC|20G0088
5686786-UIC|56G0035
8040555-UIC|80G0580
8175477-UIC|81G0115
5688378-UIC|56G0034
8055426-UIC|80G0642
8172178-UIC|81G0600
732840-UIC|73G0013
509964-UIC|50G0025
8040410-UIC|80G0593
706387-UIC|70G0129
8089066-UIC|80G0564
8174049-UIC|81G0100
8171058-UIC|81G0096
8821006-UIC|88G0009
8079756-UIC|80G0635
2236750-UIC|22G0060
8074108-UIC|80G0618
5465890-UIC|54G0126
8040434-UIC|80G0657
491747-UIC|49G0004
8079718-UIC|80G0578
8074109-UIC|80G0656
8079764-UIC|80G0638
5108411-UIC|51G0150
499622-UIC|49G0006
8450746-UIC|84G0116
2094832-UIC|20G0084
491745-UIC|49G0005
5434042-UIC|54G0130
8179206-UIC|81G0117
421586-UIC|42G0004
2029064-UIC|20G0077
5152768-UIC|51G0158
505742-UIC|50G0019
505809-UIC|50G0020
8718101-UIC|87G0871
8587790-UIC|85G0134
833464-UIC|83G0428
5108278-UIC|51G0159
502517-UIC|50G0028
8175482-UIC|81G0097
7551609-UIC|75G0016
509365-UIC|50G0017
8040415-UIC|80G0637
8040438-UIC|80G0592
8040411-UIC|80G0595
8079773-UIC|80G0649
8557363-UIC|85G0127
8079736-UIC|80G0606
8174063-UIC|81G0604
8040422-UIC|80G0587
8040448-UIC|80G0658
8040445-UIC|80G0598
8040418-UIC|80G0643
2750706-UIC|27G0016
8250102-UIC|82G0016
5145120-UIC|51G0154
8399007-UIC|83G0422
8040468-UIC|80G0628
8079749-UIC|80G0626
8079726-UIC|80G0591
555680-UIC|55G0121
755843-UIC|75G0014
360175-UIC|36G0014
2090896-UIC|20G0076
364751-UIC|36G0022
8040432-UIC|80G0601
365110-UIC|36G0020
8040529-UIC|80G0614
8040414-UIC|80G0625
8040470-UIC|80G0647
8040465-UIC|80G0582
8040403-UIC|80G0597
2750701-UIC|27G0013
8040431-UIC|80G0596
364189-UIC|36G0019
8076133-UIC|80G0569
9109001-UIC|91G0004
504657-UIC|50G0033
8040443-UIC|80G0568
8079720-UIC|80G0581
8070785-UIC|80G0634
8182011-UIC|81G0602
